,states,x,y
0,Andhra Pradesh,-99.0,-140.0
1,Arunachal Pradesh,185.0,118.0
2,Assam,162.0,78.0
3,Bihar,41.0,64.0
4,Chhattisgarh,-28.0,-24.0
5,Goa,-184.0,-136.0
6,Gujarat,-210.0,24.0
7,Haryana,-118.0,148.0
8,Himachal Pradesh,-99.0,207.0
9,Jharkhand,32.0,20.0
10,Karnataka,-152.0,-152.0
11,Kerala,-145.0,-244.0
12,Madhya Pradesh,-100.0,24.0
13,Maharashtra,-148.0,-59.0
14,Manipur,180.0,44.0
15,Meghalaya,138.0,62.0
16,Mizoram,162.0,18.0
17,Nagaland,190.0,74.0
18,Odisha,14.0,-43.0
19,Punjab,-132.0,184.0
20,Rajasthan,-167.0,97.0
21,Sikkim,87.0,102.0
22,Tamil Nadu,-110.0,-240.0
23,Telangana,-87.0,-88.0
24,Tripura,142.0,22.0
25,Uttar Pradesh,-52.0,98.0
26,Uttarakhand,-70.0,165.0
27,West Bengal,78.0,8.0
