,state,x,y
0,arizona,-203,-40
1,arkansas,57,-53
2,california,-297,13
3,colorado,-112,20
4,connecticut,297,96
5,delaware,275,42
6,florida,220,-145
7,georgia,182,-75
8,hawaii,-317,-143
9,idaho,-216,122
10,indiana,133,39
11,iowa,38,65
12,maine,319,164
13,maryland,288,27
14,massachusetts,312,112
15,michigan,148,101
16,minnesota,23,135
17,mississippi,94,-78
18,missouri,49,6
19,montana,-141,150
20,nebraska,-61,66
21,nevada,-257,56
22,new hampshire,302,127
23,new jersey,282,65
24,new mexico,-128,-43
25,new york,236,104
26,north carolina,239,-22
27,north dakota,-44,158
28,oklahoma,-8,-41
29,oregon,-278,138
30,pennsylvania,238,72
31,rhode island,318,94
32,south carolina,218,-51
33,south dakota,-44,109
34,tennessee,131,-34
35,texas,-38,-106
36,utah,-189,34
37,vermont,282,154
38,virginia,234,12
39,washington,-257,193
40,west virginia,200,20
41,wisconsin,83,113
42,wyoming,-134,90
